indicator,name,param,value,is_default,f1,precision,recall
M5,Stochastic %K/%D Cross (>80),k,11,False,0.5914,0.4918,0.7416
M5,Stochastic %K/%D Cross (>80),k,13,False,0.581,0.4946,0.7041
M5,Stochastic %K/%D Cross (>80),k,14,True,0.5773,0.4928,0.6966
M5,Stochastic %K/%D Cross (>80),k,15,False,0.5874,0.5039,0.7041
M5,Stochastic %K/%D Cross (>80),k,17,False,0.5818,0.4994,0.6966
VOL6,Down/Up Volume Ratio Spike,period,4,False,0.515,0.3552,0.9363
VOL6,Down/Up Volume Ratio Spike,period,5,True,0.4955,0.3503,0.8464
VOL6,Down/Up Volume Ratio Spike,period,6,False,0.4821,0.3461,0.794
M7,Williams %R Overbought Exit,period,11,False,0.583,0.4686,0.7715
M7,Williams %R Overbought Exit,period,13,False,0.562,0.4613,0.7191
M7,Williams %R Overbought Exit,period,14,True,0.5549,0.4563,0.7079
M7,Williams %R Overbought Exit,period,15,False,0.5523,0.4558,0.7004
M7,Williams %R Overbought Exit,period,17,False,0.5472,0.4587,0.6779
M8,ROC Negative Turn,period,8,False,0.5265,0.3777,0.8689
M8,ROC Negative Turn,period,9,False,0.5237,0.3799,0.8427
M8,ROC Negative Turn,period,10,True,0.5041,0.3709,0.7865
M8,ROC Negative Turn,period,11,False,0.4705,0.3514,0.7116
M8,ROC Negative Turn,period,12,False,0.461,0.3493,0.6779
V7,Consecutive Down Candles,min_consecutive,2,False,0.5387,0.3729,0.97
V7,Consecutive Down Candles,min_consecutive,3,True,0.4557,0.3304,0.7341
V7,Consecutive Down Candles,min_consecutive,4,False,0.3672,0.316,0.4382
X5,All-Sector Simultaneous Weakness,period,6,False,0.4615,0.3211,0.8202
X5,All-Sector Simultaneous Weakness,period,7,True,0.4686,0.3311,0.8015
X5,All-Sector Simultaneous Weakness,period,8,False,0.4541,0.321,0.7753
VOL3,CMF Negative Flip,period,16,False,0.4515,0.3464,0.6479
VOL3,CMF Negative Flip,period,18,False,0.449,0.3491,0.6292
VOL3,CMF Negative Flip,period,20,True,0.4612,0.3639,0.6292
VOL3,CMF Negative Flip,period,22,False,0.4393,0.3443,0.6067
VOL3,CMF Negative Flip,period,24,False,0.4278,0.3375,0.5843
M6,CCI Extreme Reversal,period,16,False,0.4996,0.4547,0.5543
M6,CCI Extreme Reversal,period,18,False,0.4718,0.4423,0.5056
M6,CCI Extreme Reversal,period,20,True,0.481,0.4718,0.4906
M6,CCI Extreme Reversal,period,22,False,0.4651,0.4735,0.4569
M6,CCI Extreme Reversal,period,24,False,0.448,0.4713,0.427
V4,Garman-Klass Vol Spike (2σ),period,16,False,0.4892,0.3864,0.6667
V4,Garman-Klass Vol Spike (2σ),period,18,False,0.4806,0.3782,0.6592
V4,Garman-Klass Vol Spike (2σ),period,20,True,0.4843,0.3802,0.6667
V4,Garman-Klass Vol Spike (2σ),period,22,False,0.4865,0.3855,0.6592
V4,Garman-Klass Vol Spike (2σ),period,24,False,0.4607,0.3699,0.6105
VOL4,VPT EMA Breakdown,vpt_ema,11,False,0.475,0.3556,0.7154
VOL4,VPT EMA Breakdown,vpt_ema,13,False,0.4655,0.3576,0.6667
VOL4,VPT EMA Breakdown,vpt_ema,14,True,0.4574,0.3593,0.6292
VOL4,VPT EMA Breakdown,vpt_ema,15,False,0.4489,0.3512,0.6217
VOL4,VPT EMA Breakdown,vpt_ema,17,False,0.4229,0.3338,0.5768
