strategy_id,bucket,n,wr,avg,base_id
SEQ_S1.11_S+S4.04_L,0d,163,0.17177914110429449,-2.5670504585203426,SEQ_S1.11_S+S4.04_L
SEQ_S1.11_S+S4.04_L,1d,129,0.35658914728682173,0.15066561578190268,SEQ_S1.11_S+S4.04_L
SEQ_S1.11_S+S4.04_L,2-3d,136,0.4632352941176471,1.7517272296684154,SEQ_S1.11_S+S4.04_L
SEQ_S1.11_S+S4.04_L,4-5d,80,0.575,3.4296120546120634,SEQ_S1.11_S+S4.04_L
SEQ_S1.11_S+S4.04_L,6-10d,122,0.6557377049180327,2.3869350483721803,SEQ_S1.11_S+S4.04_L
S3.12_S_aggr_F8,0d,41,0.1951219512195122,-2.9129373275714654,S3.12_S_aggr_F8
S3.12_S_aggr_F8,10d+,75,0.6666666666666666,3.4274490307770864,S3.12_S_aggr_F8
S3.12_S_aggr_F8,1d,43,0.3953488372093023,1.500872965989254,S3.12_S_aggr_F8
S3.12_S_aggr_F8,2-3d,99,0.30303030303030304,-0.5342008675341928,S3.12_S_aggr_F8
S3.12_S_aggr_F8,4-5d,40,0.4,1.6034034034034126,S3.12_S_aggr_F8
S3.12_S_aggr_F8,6-10d,76,0.4342105263157895,2.3575417522786046,S3.12_S_aggr_F8
S2.08_L_aggr_F3,0d,11,0.09090909090909091,-5.189810189810188,S2.08_L_aggr_F3
S2.08_L_aggr_F3,10d+,29,0.6551724137931034,3.1668909708973203,S2.08_L_aggr_F3
S2.08_L_aggr_F3,1d,11,0.5454545454545454,4.790209790209795,S2.08_L_aggr_F3
S2.08_L_aggr_F3,2-3d,15,0.4666666666666667,3.0603396603396664,S2.08_L_aggr_F3
S2.08_L_aggr_F3,4-5d,9,0.3333333333333333,0.13286713286713342,S2.08_L_aggr_F3
S2.08_L_aggr_F3,6-10d,19,0.42105263157894735,2.0588359009411694,S2.08_L_aggr_F3
S1.11_S_aggr,0d,37,0.10810810810810811,-4.831074317560798,S1.11_S_aggr
S1.11_S_aggr,10d+,103,0.6310679611650486,2.5383673703735057,S1.11_S_aggr
S1.11_S_aggr,1d,56,0.32142857142857145,-0.12862862862862157,S1.11_S_aggr
S1.11_S_aggr,2-3d,82,0.3170731707317073,-0.3341937395764068,S1.11_S_aggr
S1.11_S_aggr,4-5d,76,0.4473684210526316,2.6475949633844453,S1.11_S_aggr
S1.11_S_aggr,6-10d,87,0.3103448275862069,-0.37295916606260726,S1.11_S_aggr
SEQ_S1.11_S+S3.01_L,0d,116,0.20689655172413793,-2.1010246872315763,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L,1d,123,0.3902439024390244,0.65454297161615,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L,2-3d,127,0.44881889763779526,1.5350977555702048,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L,4-5d,88,0.48863636363636365,2.133122644486288,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L,6-10d,121,0.5867768595041323,1.0797097078421316,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L#v5,0d,47,0.574468085106383,1.2390056929122168,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L#v5,10d+,97,0.5567010309278351,0.28606005151599045,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L#v5,1d,76,0.631578947368421,2.448471202490674,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L#v5,2-3d,120,0.5833333333333334,1.5041923060502445,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L#v5,4-5d,85,0.6235294117647059,2.0989784086962313,SEQ_S1.11_S+S3.01_L
SEQ_S1.11_S+S3.01_L#v5,6-10d,98,0.5204081632653061,0.5331231083495958,SEQ_S1.11_S+S3.01_L
